EBOOK	TITLE	AUTHOR	MISC
39711	Constitutional History of England, Vol 1 of 3	by Henry Hallam	[Subtitle: Henry VII to George II]
39712	Goblin Tales of Lancashire	by James Bowker
39713	The Foundations of Science	by Henri Poincar?	[Translator: George Bruce Halsted]
39714	D.C. Powered Timing Light Model 161.2158 for 12 Volt Ignition Systems	by Anonymous	[Subtitle: Sears Owners Manual]
39715	The Argentine as a Market	by N. L. Watson
39716	Little Masterpieces	by Nathaniel Hawthorne
39718	The Wanderings of a Spiritualist	by Arthur Conan Doyle
39720	The Abolition Crusade and Its Consequences	by Hilary Abner Herbert	[Subtitle: Four Periods of American History]
39721	Popular Technology, Vol. I (of 2)	by Edward Hazen	[Subtitle: or, Professions and Trades]
39723	The World Before the Deluge	by Louis Figuier
39724	The Imitator	by Percival Pollard
39725	William Morris	by Elizabeth Luther Cary	[Subtitle: Poet, Craftsman, Socialist]
39726	The Rolliad, in Two Parts	by George Ellis, French Laurence, Joseph Richardson, and Richardd Tickell,	[Subtitle: Probationary Odes for the Laureatship & Political Eclogues]
39727	Judges and Ruth	by Robert A. Watson
39728	In Far Bolivia	by Gordon Stables	[Subtitle: A Story of a Strange Wild Land]
39729	Courage, True Hearts	by Gordon Stables	[Subtitle: Sailing in Search of Fortune]
39730	The Girl Who Had Nothing	by Mrs. C. N. Williamson
39731	The Marriage of Esther	by Guy Boothby
39732	Budd Boyd's Triumph	by William Pendleton Chipman	[Subtitle: or, The Boy-Firm of Fox Island]
39734	The Life of Philip Melanchthon	by Karl Friedrich Ledderhose	[Translator: Gottlob Frederick Krotel]
39735	Ti-Ping Tien-Kwoh	by Lin-Le	[Subtitle: The History of the Ti-Ping Revolution (Volume II)]
39740	Oriental Rugs	by Walter A. Hawley	[Subtitle: Antique and Modern]
39741	In My Nursery	by Laura E. Richards
39742	Half a Man	by Mary White Ovington and Franz Boas	[Subtitle: The Status of the Negro in New York]
39743	American Football	by Walter Camp
39744	Arne: Early Tales and Sketches	by Bjornstjerne Bjornson	[Subtitle: Patriots Edition]	[Translator: Rasmus B. Anderson]
39745	Folle-Farine	by Ouida
39746	The Works of George Berkeley, Vol. 1 (of 4)	by George Berkeley	[Subtitle: Philosophical Works, 1705-21]
39747	A Manual of Ancient History	by Arnold Hermann Ludwig Heeren	[Subtitle: Particularly with Regard to the Constitutions, the Commerce, and the Colonies, of the States of Antiquity]
39748	Four Winds Farm	by Mrs. Molesworth
39749	Principles of Decorative Design	by Christopher Dresser	[Subtitle: Fourth Edition]
39750	To Your Dog and To My Dog	by Lincoln Newton Kinnicutt
39751	Being Well-Born	by Michael F. Guyer	[Subtitle: An Introduction to Eugenics]
39752	Fairy Legends and Traditions of The South of Ireland	by T. Crofton Crocker
39753	The Misfit Christmas Puddings	by Club Consolation
39754	Franz Liszt	by James Huneker
39755	The Story of Peter Pan	by Daniel Stephen O'Connor	[Subtitle: Retold from the fairy play by Sir James Barrie]
39757	Half-Hours with Jimmieboy	by John Kendrick Bangs	[Illustrators: Frank Verbeck, Charles Howard Johnson, J. T. Richards and P. Newell]
39758	Matilda Montgomerie	by Major John Richardson	[Subtitle: The Prophecy Fulfilled]
39759	Wilson's Tales of the Borders and of Scotland Volume 18	by Alexander Leighton	[Subtitle: Historical, Traditionary, & Imaginative]
39760	Saddle and Mocassin	by Francis Francis Jr
39761	The Knack of Managing	by Lewis K. Urquhart and Herbert Watson
39766	English and Scottish Ballads, Volume VI (of 8)	by Various	[Editor: Francis James Child]
39767	The Book of Isaiah, Volume I (of 2)	by George Adam Smith
39768	Vassall Morton	by Francis Parkman	[Subtitle: A Novel]
39769	Ghosts I Have Seen	by Violet Tweedale	[Subtitle: And Other Psychic Experiences]
39770	Punch, or the London Charivari, Volume 107, July 21, 1894	by Various
39771	Studies in Modern Music, Second Series	by W. H. Hadow	[Subtitle: Frederick Chopin, Antonin Dvorak, Johannes Brahms]
39772	Mark Gildersleeve	by John S. Sauzade	[Subtitle: A Novel]
39773	Juvenile Styles, Volume 4	by Mary Hoyer	[Subtitle: Original Designs for Infants and Juveniles]
39775	Encyclopaedia Britannica, 11th Edition, Volume 14, Slice 7	by Various	[Subtitle: Ireland to Isabey, Jean Baptiste]
39776	The Three Perils of Man, Vol. 1 (of 3)	by James Hogg	[Subtitle: or, War, Women, and Witchcraft]
39777	Cowboy Life on the Sidetrack	by Frank Benton	[Subtitle: Being an Extremely Humorous & Sarcastic Story of the Trials & Tribulations Endured by a Party of Stockmen Making a Shipment from the West to the East]
39778	Mollie and the Unwiseman Abroad	by John Kendrick Bangs
39779	American Grape Training	by Liberty Hyde Bailey	[Subtitle: An account of the leading forms now in use of Training the American Grapes]
39780	Baltimore Hats	by William T. Brigham	[Subtitle: Past and Present]
39781	Cape of Storms	by Percival Pollard
39782	Brownies and Bogles	by Louise Imogen Guiney
39783	Canzoni & Ripostes	by Ezra Pound and T.E. Hulme	[Subtitle: Whereto are appended the Complete Poetical Works of T.E. Hulme]
39784	Mother Goose's Nursery Rhymes	by Walter Crane	[Subtitle: A Collection of Alphabets, Rhymes, Tales, and Jingles]	[Illustrators: John Gilbert, John Tenniel, Harrison Weir, and others]
39785	Tunnel Engineering. A Museum Treatment	by Robert M. Vogel
39786	Beau Brocade	by Baroness Orczy	[Subtitle: A Romance]
39787	His Majesty's Well-Beloved	by Baroness Orczy	[Subtitle: An episode in the life of Mr. Thomas Betterton as told by his friend John Honeywood]
39788	The Expositor's Bible: The Epistle to the Philippians	by Robert Rainy
39789	Nooks and Corners of Old New York	by Charles Hemstreet
39790	An American Four-In-Hand in Britain	by Andrew Carnegie
39791	Farm Mechanics	by Herbert A. Shearer	[Subtitle: Machinery and its Use to Save Hand Labor on the Farm]
39794	King-Errant	by Flora Annie Steel
39795	In the Guardianship of God	by Flora Annie Steel
39796	A Canadian Calendar: XII Lyrics	by Francis Sherman
39797	A Prelude	by Francis Sherman
39798	In Memorabilia Mortis	by Francis Sherman
39799	Bobby Blake at Rockledge School	by Frank A. Warner	[Subtitle: or Winning the Medal of Honor]
39800	The Adventures of Dick Trevanion	by Herbert Strang	[Subtitle: A Story of Eighteen Hundred and Four]
39801	Fighting with French	by Herbert Strang	[Subtitle: A Tale of the New Army]
39802	Tommy Wideawake	by H. H. Bashford
39803	An Explanatory Discourse by Tan Chet-qua of Quang-chew-fu, Gent.	by Sir William Chambers
39804	Thalaba the Destroyer	by Robert Southey
39805	Practical Boat-Sailing	by Douglas Frazar	[Subtitle: A Concise and Simple Treatise]
39806	How A Dear Little Couple Went Abroad	by Mary D. Brine
39807	The Iron Boys in the Steel Mills	by James R. Mears	[Subtitle: or, Beginning Anew in the Cinder Pits]
39808	Wit and Wisdom of Lord Tredegar	by Godfrey Charles Morgan
39810	A Prince of Dreamers	by Flora Annie Steel
39812	The Oriel Window	by Mrs. Molesworth
39813	A Sovereign Remedy	by Flora Annie Steel
39814	The Church on the Changing Frontier	by Helen O. Belknap	[Subtitle: A Study of the Homesteader and His Church]
39815	My Fire Opal, and Other Tales	by Sarah Warner Brooks
39817	The Age of Dryden	by Richard Garnett
39818	A Catalogue of Books for the Young	by Various
39819	Expositor's Bible: Index	by S. G. Ayres
39820	Mollie and the Unwiseman	by John Kendrick Bangs
39821	From the Five Rivers	by Flora Annie Steel
39822	Tics and Their Treatment	by Henry Meigne and E. Feindel	[Translator: S.A.K. Wilson]
39823	History of the National Flag of the United States of America	by Schuyler Hamilton
39824	Miss Dividends	by Archibald Clavering Gunter	[Subtitle: A Novel]
39826	The Trial of Callista Blake	by Edgar Pangborn
39827	The Conduct of Life	by Ralph Waldo Emerson
39828	Early American Plays	by Oscar Wegelin	[Subtitle: 1714-1830]
39829	The Toy Shop	by Margarita Spalding Gerry	[Subtitle: A Romantic Story of Lincoln the Man]
39830	Memoranda on Poisons	by Thomas Hawkes Tanner
39831	A Study of Splashes	by Arthur Mason Worthington
39832	In the Permanent Way	by Flora Annie Steel
39833	The Old Pincushion	by Mrs. Molesworth	[Subtitle: or, Aunt Clotilda's Guests]
39834	After the Divorce	by Grazia Deledda	[Subtitle: A Romance]	[Translator: Maria Hornor Lansdale]
39838	Our Railroads To-Morrow	by Edward Hungerford
39839	The Cross in Ritual, Architecture and Art	by Geo. S. Tyack
39843	Women of History	by Anonymous	[Subtitle: Selected from the Writings of Standard Authors]
39844	The Ascent of Man	by Mathilde Blind
39845	Early Illustrated Books	by Alfred W. Pollard	[Subtitle: A History of the Decoration and Illustration of Books in the 15th and 16th Centuries]
39846	St. Nicholas Vol XIII. No. 8 June 1886	by Various	[Subtitle: an Illustrated Magazine for Young Folks]	[Editor: Mary Mapes Dodge]
39847	In the Tideway	by Flora Annie Steel
39848	India Through the Ages	by Flora Annie Steel	[Subtitle: A Popular and Picturesque History of Hindustan]
39850	Cattle-Ranch to College	by Russell Doubleday	[Subtitle: The True Tales of A Boy's Adventures in the Far West]
39851	Victorian Literature	by Clement K. Shorter	[Subtitle: Sixty Years of Books and Bookmen]
39852	Punch or the London Charivari, Volume 150, May 17 1916	by Various
39853	The Lance of Kanana	by Harry W. French	[Subtitle: A Story of Arabia]
39854	Bird-Lore	by Various	[Editor: Frank M. Chapman]
39855	The Teaching of Epictetus	by Epictetus	[Subtitle: Being the 'Encheiridion of Epictetus,' with Selections from the 'Dissertations' and 'Fragments']	[Translator: T.W. Rolleston]
39856	Expositor's Bible: The Gospel of St Luke	by Henry Burton
39857	Marmaduke	by Flora Annie Steel
39858	Trilby	by George Du Maurier
39860	The Evolution of States	by J. M. Robertson
39861	The Life Of Henriette Sontag, Countess De Rossi	by Various	[Subtitle: With Interesting Sketches By Scudo, Hector Berlioz, Louis Boerne, Adolphe Adam, Marie Aycard, Julie De Margueritte, Prince Puckler-Muskau, And Theophile Gautier]
39862	English Traits	by Ralph Waldo Emerson
39863	The Montessori Method	by Maria Montessori	[Subtitle: Scientific Pedagogy as Applied to Child Education in 'The Children's Houses' with Additions and Revisions by the Author]	[Translator: Anne E. George]
39864	The Young People's Wesley	by W. McDonald
39865	Margaret Vincent	by Sophia Lucy Clifford	[Subtitle: A Novel]
39866	Terrestrial and Celestial Globes Vol I	by Edward Luther Stevenson	[Subtitle: Their History and Construction Including a Consideration of their Value as Aids in the Study of Geography and Astronomy]
39867	Terrestrial and Celestial Globes Vol II	by Edward Luther Stevenson	[Subtitle: Their History and Construction Including a Consideration of their Value as Aids in the Study of Geography and Astronomy]
39868	Glinda of Oz	by L. Frank Baum	[Subtitle: In which are related the Exciting Experiences of Princess Ozma of Oz, and Dorothy, in their hazardous journey to the home of the Flatheads, and to the Magic Isle of the Skeezers, and how they were rescued from dire peril by the sorcery of Glinda the Good.]
39869	Farming with Dynamite	by E. I. du Pont de Nemours Powder Co.	[Subtitle: A Few Hints to Farmers]
39870	Bert Wilson, Marathon Winner	by J. W. Duffield
39871	Bikey the Skicycle and Other Tales of Jimmieboy	by John Kendrick Bangs
39872	The Three Perils of Man, Vol. 2 (of 3)	by James Hogg	[Subtitle: or, War, Women, and Witchcraft]
39873	The Formation of Christendom, Volume II	by Thomas W. Allies
39874	An Open Letter to the Right Honorable David Lloyd George	by Lajpat Rai	[Subtitle: Prime Minister of Great Britain]
39875	Highways and Byways in London	by E. T. Cook
39878	Miser Farebrother (vol 2 of 3)	by Benjamin Leopold Farjeon	[Subtitle: A Novel]
39879	Miser Farebrother (vol 3 of 3)	by Benjamin Leopold Farjeon	[Subtitle: A Novel]
39881	War's Brighter Side	by Julian Ralph	[Subtitle: The Story of The Friend Newspaper Edited by the Correspondents with Lord Roberts's Forces, March-April, 1900]
39882	The Beginners of a Nation	by Edward Eggleston
39883	Alsace-Lorraine	by Daniel Blumenthal	[Subtitle: A Study of the Relations of the Two Provinces to France and to Germany and a Presentation of the Just Claims of their People]
39886	Modern Painting, Its Tendency and Meaning	by Willard Huntington Wright
39887	The Cambridge Natural History, Vol X., Mammalia	by Frank Evers Beddard
39888	Thirty Days in Lithuania in 1919	by Peter P. Saurusaitis
39890	The Life and Writings of Henry Fuseli, Vol. II (of 3)	by Henry Fuseli
39891	Jewel Mysteries	by Max Pemberton	[Subtitle: From a Dealer's Note Book]
39892	Scottish Loch Scenery	by Thomas A. Croal
39893	Defenseless America	by Hudson Maxim
39894	Roman Sepulchral Inscriptions	by John  Kenrick	[Subtitle: Their Relation to Arch?ology, Language, and Religion]
39895	The Church of St. Bunco	by Gordon Clark	[Subtitle: A Drastic Treatment of a Copyrighted Religion]
39896	The Girl Next Door	by Augusta Huiell Seaman
39897	Discoveries among the Ruins of Nineveh and Babylon	by Austen H. Layard
39898	Western Scenes and Reminiscences	by Henry Rowe Schoolcraft	[Subtitle: Together with Thrilling Legends and Traditions of the Red Men of the Forest]
39899	Star	by Forrestine C. Hooker	[Subtitle: The Story of an Indian Pony]
39900	The Slipper Point Mystery	by Augusta Huiell Seaman
39903	Star of Mercia	by Blanche Devereux	[Subtitle: Historical Tales of Wales and the Marches]
39904	The Life of Crustacea	by William Thomas Calman
39905	Upsidonia	by Archibald Marshall
39906	'Farewell, Nikola'	by Guy Boothby
39907	Wilderness of Spring	by Edgar Pangborn
39908	Encyclopaedia Britannica, 11th Edition, Volume 14, Slice 6	by Various	[Subtitle: Inscriptions to Ireland, William Henry]
39909	The Poems of Philip Freneau, Volume III (of III)	by Philip Freneau
39910	Omphalos	by Philip Henry Gosse	[Subtitle: An Attempt to Untie the Geological Knot]
39911	The Army Mule and Other War Sketches	by Henry A. Castle
39912	Tom Willoughby's Scouts	by Herbert Strang	[Subtitle: A Story of the War in German East Africa]
39913	Expositor's Bible: The Book of Ecclesiastes	by Samuel Cox
39914	Reports on the Maya Indians of Yucatan	by Santiago Mendez, Antonio Garc?y Cubas, Pedro Sanchez de Aguilar and Francisco Hernandez	[Subtitle: vol. IX No. 3]
39915	Gouverneur Morris	by Theodore Roosevelt
39916	The Ranger Boys Outwit the Timber Thieves	by Claude A. Labelle
39917	Narrative of an Expedition to the Shores of the Arctic Sea in 1846 and 1847	by John Rae
39918	Crusoe's Island: A Ramble in the Footsteps of Alexander Selkirk	by John Ross Browne	[Subtitle: With Sketches of Adventure in California and Washoe]
39920	Yarmouth Notes	by Frederick Danby Palmer	[Subtitle: 1830-1872. Collected from the File of the Norwich Mercury]
39922	Juggernaut	by George Cary Eggleston and Dolores Marboug	[Subtitle: A Veiled Record]
39923	The Lucky Seventh	by Ralph Henry Barbour
39924	Down the River to the Sea	by Agnes Maule Machar
39925	A Short History of English Music	by Ernest Ford
39926	Puffing Billy and the Prize Rocket	by Helen Cross Knight	[Subtitle: or the story of the Stephensons and our Railways]
39927	Daniel Boone	by Reuben Gold Thwaites
39928	Man's Place in the Universe	by Alfred R. Wallace	[Subtitle: A Study of the Results of Scientific Research in Relation to the Unity or Plurality of Worlds, 3rd Edition]
39929	A Dialogue upon the Gardens	by William Gilpin	[Subtitle: of the Right Honorouble the Lord Viscount Cobham at Stow in Buckinghamshire]
39932	The Lure of Old London	by Sophie Cole
39933	The Amazing Inheritance	by Frances R. Sterrett
39934	Traditions, Superstitions and Folk-lore	by Charles Hardwick	[Subtitle: (Chiefly Lancashire and the North of England:) Their affinity to others in widely-distributed localities; Their Eastern Origin and Mythical Significance]
39935	Twelve Good Musicians	by Frederick Bridge	[Subtitle: From John Bull to Henry Purcell]
39936	Meg's Friend	by Alice Abigail Corkran	[Subtitle: A Story for Girls]
39937	The Long Dim Trail	by Forrestine C. Hooker
39940	Ashton Kirk, Secret Agent	by John T. McIntyre
39941	Expositor's Bible: The Song of Solomon	by Walter Adeney	[Subtitle: and the Lamentations of Jeremiah]
39942	Botticelli	by Henry Bryan Binns
39943	Delacroix by, Paul G. Konody
39944	Caper-Sauce	by Fanny Fern	[Subtitle: A Volume of Chit-Chat about Men, Women, and Things]
39945	Peeps at People	by John Kendrick Bangs	[Subtitle: Being Certain Papers from the Writings of Anne Warrington Witherup]
39946	Trees. A Woodland Notebook	by Herbert Maxwell	[Subtitle: Containing Observations on Certain British and Exotic Trees]
39949	The Place of Science in Modern Civilisation and Other Essays	by Thorstein Veblen
39950	People of Destiny	by Philip Gibbs	[Subtitle: Americans as I saw them at Home and Abroad]
39951	Punch, or the London Charivari, Vol. 107 July 7, 1894	by Various
39952	The Iowa	by William Harvey Miner
39954	With Americans of Past and Present Days	by J. J. Jusserand
39955	The Dawn of Day	by Friedrich Wilhelm Nietzsche	[Translator: John McFarland Kennedy]
39956	Expositor's Bible: Ezra, Nehemiah, and Esther	by Walter Adeney
39957	Prairie Gold	by Various	[Editors: Johnson Brigham, Lewis Worthington Smith and Helen Cowles LeCron]
39958	Life History and Ecology of the Five-lined Skink, Eumeces Fasciatus	by Henry S. Fitch
39959	The Three Perils of Man, Vol. 3 (of 3)	by James Hogg	[Subtitle: or, War, Women, and Witchcraft]
39960	The Works of Sir Thomas Browne (Volume 1 of 3)	by Thomas Browne
39961	The Works of Sir Thomas Browne (Volume 2 of 3)	by Thomas Browne
39962	The Works of Sir Thomas Browne	by Thomas Browne	[Subtitle: (Volume 3 of 3)]
39964	The Positive Outcome of Philosophy	by Joseph Dietzgen	[Subtitle: The Nature of Human Brain Work. Letters on Logic.]	[Translator: Ernst Unterman]
39965	American Big-Game Hunting	by Various	[Subtitle: The Book of the Boone and Crockett Club]	[Editors: Theodore Roosevelt and George Bird Grinnell]
39966	Curiosities of Christian History	by Croake James	[Subtitle: Prior to the Reformation]
39967	Sources of the Synoptic Gospels	by Carl S. Patton
39968	Lancashire Humour	by Thomas Newbigging
39969	A Civic Biology	by George William Hunter	[Subtitle: Presented in Problems]
39970	The Hill of Venus	by Nathan Gallizier
39971	Bonaparte in Egypt and the Egyptians of To-day	by Haji A. Browne
39972	Palmetto-Leaves	by Harriet Beecher Stowe
39973	How to Produce Amateur Plays	by Barrett H. Clark	[Subtitle: A Practical Manual]
39974	Handbook of Alabama Archaeology	by James W. Cambron and David C. Hulse	[Subtitle: Part I, Point Types]
39975	Audubon and his Journals, Volume I (of 2)	by Maria R. Audubon
39977	Illustrations of Universal Progress	by Herbert Spencer	[Subtitle: A Series of Discussions]
39978	The Royal Mail	by James Wilson Hyde	[Subtitle: Its Curiosities and Romance]
39979	Audubon and his Journals, Vol. 2	by Maria R. Audubon
39980	Farmer George, Volume 1	by Lewis Melville
39981	Farmer George, Volume 2	by Lewis Melville
39982	The Weird of the Wentworths, Vol. 1	by Johannes Scotus	[Subtitle: A Tale of George IV's Time]
39983	The Weird of the Wentworths, Vol. 2	by Johannes Scotus	[Subtitle: A Tale of George IV's Time]
39984	Lord Loveland Discovers America	by C. N. Williamson and A. M. Williamson
39985	The Potter's Thumb	by Flora Annie Steel
39986	The Way of Initiation	by Rudolf Steiner	[Subtitle: or, How to Attain Knowledge of the Higher Worlds]	[Translator: Max Gysi]
39987	The Flower of Forgiveness	by Flora Annie Steel
39989	The Churches of Paris	by S. Sophia Beale
39991	The Hosts of the Lord	by Flora Annie Steel
39993	Gardening for Little Girls	by Olive Hyde Foster
39994	Mountain	by Clement Wood	[Subtitle: A Novel]
39995	For the Soul of Rafael	by Marah Ellis Ryan
39996	The History of Painting in Italy, Vol. V (of 6)	by Luigi Antonio Lanzi	[Subtitle: from the Period of the Revival of the Fine Arts to the End of the Eighteenth Century]	[Translator: Thomas Roscoe]
39997	Library Notes	by A. P. Russell
39998	Science of Animal Locomotion (Zoopraxography)	by Eadweard Muybridge	[Subtitle: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements]
39999	The Great Acceptance	by Cyril Arthur Edward Ranger Gull and Guy Thorne	[Subtitle: The Life Story of F. N. Charrington]
40000	Extinct Birds	by Walter Rothschild	[Subtitle: An attempt to unite in one volume a short account of those Birds which have become extinct in historical times.]
40001	An English Girl's First Impressions of Burmah	by Beth Ellis
40002	The Die Varieties of the Nesbitt Series of United States Envelopes	by Victor M. Berthold
40003	Australian Heroes and Adventurers	by William Pyke
40004	The Legend of Ulenspiegel, Vol. II (of 2)	by Charles de Coster	[Subtitle: And Lamme Goedzak, and their Adventures Heroical, Joyous and Glorious in the Land of Flanders and Elsewhere]	[Translators: F. M. Atkinson and John Hero Lepper]
40005	North American Recent Soft-shelled Turtles	[Family Trionychidae)	by Robert G. Webb
40006	Margaret Capel, vol. 1 of 3	by Ellen Wallace	[Subtitle: A Novel]
40008	The Autobiography of a Cornish Smuggler	by Harry Carter
40009	Encyclopaedia Britannica, 11th Edition, Volume 14, Slice 5	by Various	[Subtitle: Indole to Insanity]
40010	Summer Cruising in the South Seas	by Charles Warren Stoddard
40013	The Master of Warlock	by George Cary Eggleston	[Subtitle: A Virginia War Story]
40014	John Burnet of Barns	by John Buchan	[Subtitle: A Romance]
40015	A Boy Scout's Courage	by Edward Griggs
40016	The Last Rose of Summer	by Rupert Hughes
40017	The Stampeder	by S. A. White
40018	Bass, Pike, Perch, and Others	by James Alexander Henshall
40019	The Barren Ground of Northern Canada	by Warburton Mayer Pike
40020	The Thames	by G. E. Mitton
40021	The History of Chivalry, Volume I (of 2)	by Charles Mills	[Subtitle: Or, Knighthood and Its Times]
40022	The History of Chivalry, Volume II (of 2)	by Charles Mills	[Subtitle: Or, Knighthood and Its Times]
40023	Monograms & Ciphers	by Albert Angus Turbayne
40024	Rebecca's Promise	by Frances R. Sterrett
40026	Blackwood's Edinburgh Magazine, Volume 64, No. 398, December 1848	by Various
40027	The Scarecrow and Other Stories	by G. Ranger Wormser
40028	Royal English Bookbindings	by Cyril Davenport
40029	Gunpowder Plot and Lord Mounteagle's Letter	by Henry Hawkes Spink Jr	[Subtitle: Being a Proof, with Moral Certitude, of the Authorship of the Document: Together with Some Account of the Whole Thirteen Gunpowder Conspirators, Including Guy Fawkes]
40030	The Theory of Heat Radiation	by Max Planck	[Translator: Morton Masius]
40031	Nooks and Corners of English Life, Past and Present	by John Timbs
40032	Mexico	by Susan Hale
40033	The Missing Formula	by Mildred A. Wirt, AKA Ann Wirt	[Subtitle: Madge Sterling Series, #1]
40034	The Princess Dehra	by John Reed Scott
40035	Book of Monsters	by David Fairchild and Marian Hubbard (Bell) Fairchild
40036	Tramping with Tramps	by Josiah Flynt	[Subtitle: Studies and Sketches of Vagabond Life]
40037	Fort Duquesne and Fort Pitt	by Various	[Subtitle: Early Names of Pittsburgh Streets Sixth Edition]
40038	The Lone Ranger Rides	by Fran Striker
40040	Flowers Shown to the Children	by C. E. Smith
40041	The Secret of the Sundial	by Mildred A. Wirt, AKA Ann Wirt	[Subtitle: Madge Sterling Series, #3]
40042	The Deserted Yacht	by Mildred A. Wirt, AKA Ann Wirt	[Subtitle: Madge Sterling Series, #2]
40043	The Problem of Foreign Policy	by Gilbert Murray
40044	Journal and Letters of Philip Vickers Fithian: A Plantation Tutor of the Old Dominion, 1773-1774	by Philip Vickers Fithian
40045	Voices in the Night	by Flora Annie Steel
40046	Dispatch Carrier and Memoirs of Andersonville Prison	by William N. Tyler
40047	Punch, or the London Charivari, Vol. 107, October 20, 1894	by Various	[Editor: Francis Cowley Burnand]
40048	The Newcastle Song Book	by Various	[Subtitle: or Tyne-Side Songster]
40050	Life Movements in Plants, Volume II, 1919	by Sir Jagadis Chunder Bose
40051	Found at Last: the Veritable Garden of Eden	by David Van Slyke	[Subtitle: Or a place that answers the Bible description of that notable spot better than anything yet discovered]
40053	Margaret Capel, vol. 2 of 3	by Ellen Wallace	[Subtitle: A Novel]
40054	Margaret Capel, vol. 3 of 3	by Ellen Wallace	[Subtitle: A Novel]
40055	The Natural History of Cage Birds	by J. M. Bechstein	[Subtitle: Their Management, Habits, Food, Diseases, Treatment, Breeding, and the Methods of Catching Them.]
40056	Yule Logs	by Various	[Subtitle: Longmans' Christmas Annual for 1898]	[Editor: G. A. Henty]
40057	The Life of Florence Nightingale vol. 1 of 2	by Edward Tyas Cook
40058	The Life of Florence Nightingale vol. 2 of 2	by Edward Tyas Cook
40059	Wanderfoot	by Cynthia Stockley	[Subtitle: The Dream Ship]
40060	Christian Faith Under Modern Searchlights	by William Hallock Johnson
40062	Blackwood's Edinburgh Magazine -- Volume 62, No. 386, December, 1847	by Various
40063	Every Girl's Library, Volume 8 of 10	by Various	[Subtitle: A Collection of Appropriate and Instructive Reading for Girls of All Ages from the Best Authors of All Time]	[Editor: Percy Keese Fitzhugh]
40065	Punch, or the London Charivari, Vol. 105 December 9, 1893	by Various	[Editor: Sir Francis Burnand]
40067	The Iron Boys on the Ore Boats	by James R. Mears	[Subtitle: or, Roughing It on the Great Lakes]
40068	Catholic World. Volume II; Numbers 7, 8, 9, 10, 11, 12.	by E. Rameur	[Subtitle: A Monthly Eclectic Magazine]
40069	Argentina	by W. A. Hirst
40071	Blackwood's Edinburgh Magazine, Volume 63, No. 389, March 1848	by Various
40072	Nooks and Corners of Old London	by Charles Hemstreet and Marie Hemstreet
40073	A Lively Bit of the Front	by Percy F. Westerman	[Subtitle: A Tale of the New Zealand Rifles on the Western Front]
40074	A Dictionary of Cebuano Visayan	by John U. Wolff
40075	The Knight of Malta	by Eugene Sue
40076	Atrocious Judges	by John Campbell, Baron Campbell	[Subtitle: Lives of Judges Infamous as Tools of Tyrants and Instruments of Oppression]
40077	The Principles of Economics	by Frank A. Fetter	[Subtitle: With Applications to Practical Problems]
40078	My Life	by Josiah Flynt
40079	The Philosophy of Disenchantment	by Edgar Saltus
40080	A Pictorial Booklet on Early Jamestown Commodities and Industries	by J. Paul Hudson
40081	Thomas Chalmers	by W. Garden Blaikie
40082	The Thirty Years' War	by Samuel Rawson Gardiner	[Subtitle: 1618-1648]
40083	Mollie's Prince	by Rosa Nouchette Carey	[Subtitle: A Novel]
40084	The Strand Magazine - Vol. 1 - No. 3 - March 1891	by Various	[Subtitle: An Illustrated Monthly]	[Editor: George Newnes]
40087	With the Doughboy in France	by Edward Hungerford	[Subtitle: A Few Chapters of an American Effort]
40089	Reconstruction in Philosophy	by John Dewey
40090	Blackwood's Edinburgh Magazine, Volume 63, No. 391, May, 1848	by Various
40091	The Solution of the Pyramid Problem	by Robert Ballard	[Subtitle: or, Pyramide Discoveries with a New Theory as to their Ancient Use]
40092	Guernsey Pictorial Directory and Stranger's Guide	by Thomas Bellamy	[Subtitle: Embellished with Numerous Wood-cuts]
40096	Encyclopaedia Britannica, 11th Edition, Volume 14, Slice 4	by Various	[Subtitle: Independence, Declaration of to Indo-European Languages]
40097	The World as Will and Idea (Vol. 2 of 3)	by Arthur Schopenhauer	[Translators: R. B. Haldane and J. Kemp]
40099	Blackwood's Edinburgh Magazine, Volume 63, No. 392, June, 1848, Various
40100	Life Histories of North American Wood Warblers Part One and Part Two	by Arthur Bent
40101	Popular Technology; Volume 2	by Edward Hazen	[Subtitle: or, Professions and Trades]
40102	The Passion for Life	by Joseph Hocking
40103	Denry the Audacious	by Arnold Bennett
40104	Tobias o' the Light	by James A. Cooper	[Subtitle: A Story of Cape Cod]
40105	Baseball Joe at Yale	by Lester Chadwick	[Subtitle: or Pitching for the College Championship]
40106	Loimologia: Or, an Historical Account of the Plague in London in 1665	by Nathaniel Hodges and John Quincy	[Subtitle: With Precautionary Directions Against the Like Contagion]
40108	Tales of Secret Egypt	by Sax Rohmer
40109	Taxidermy and Zoological Collecting	by William T. Hornaday and W. J. Holland	[Subtitle: A Complete Handbook for the Amateur Taxidermist, Collector, Osteologist, Museum-Builder, Sportsman, and Traveller]
40110	North American Jumping Mice (Genus Zapus)	by Philip H. Krutzsch
40111	In Silk Attire	by William Black	[Subtitle: A Novel]
40112	Systematics of Megachiropteran Bats in the Solomon Islands	by Carleton J. Phillips
40113	The Flags of the World	by F. Edward Hulme	[Subtitle: Their History, Blazonry, and Associations]
40114	Fashion and Famine	by Ann S. Stephens
40116	Edith and John	by Franklin S. Farquhar	[Subtitle: A Story of Pittsburgh]
