EBOOK	TITLE	AUTHOR	MISC
206	The Martin Luther King, Jr. Day, 1995, Memorial Issue	by Various
207	The Spell of the Yukon	by Robert Service
208	Daisy Miller	by Henry James
209	The Turn of the Screw	by Henry James
210	An International Episode	by Henry James
211	The Aspern Papers	by Henry James
212	A List of Factorial Math Constants	by Unknown
213	The Man from Snowy River	by Andrew Barton 'Banjo' Paterson
214	In the Days When the World Was Wide and Other Verses	by Henry Lawson
215	The Call of the Wild	by Jack London
216	Tao Teh King	by Lao-Tze	[Title a.k.a. Dao te ching]	[Subtitle: The Tao and Its Characteristics]	[Author a.k.a. Lao Tzu; a.k.a. Laozi]
217	Sons and Lovers	by David Herbert Lawrence
218	Caesar's Commentaries in Latin, Books 1-4	by Julius Caesar
219	Heart of Darkness	by Joseph Conrad
220	The Secret Sharer	by Joseph Conrad
221	The Return of Sherlock Holmes	by Arthur Conan Doyle	[Subtitle: Magazine Edition]
222	The Moon and Sixpence	by W. Somerset Maugham
223	The Wisdom of Father Brown	by G. K. Chesterton
224	A Pair of Blue Eyes	by Thomas Hardy
225	At the Back of the North Wind	by George MacDonald
228	The Aeneid	by Virgil
230	The Bucolics and Eclogues	by Virgil
232	The Georgics	by Virgil
233	Sister Carrie	by Theodore Dreiser
234	Child Christopher	by William Morris
235	William Gibson Interviewed	by Giuseppe Salza
236	The Jungle Book	by Rudyard Kipling
238	Dear Enemy	by Jean Webster
239	Radar Map of the United States	by the U. S. Government
240	Stories From the Old Attic	by Robert Harris
241	Clotelle	by William Wells Brown	[Subtitle: The Colored Heroine]
242	My Antonia	by Willa Cather
243	The Forged Coupon and Other Stories	by Leo Tolstoy
244	A Study In Scarlet	by Arthur Conan Doyle
245	Life On The Mississippi, Complete	by Mark Twain
246	Rubaiyat of Omar Khayyam	by Omar Khayyam
247	Webster's Unabridged Dictionary	by Noah Webster	[Subtitle: First 100 Pages]
248	Webster's Unabridged Dictionary	by Noah Webster	[Subtitle: Second 100 Pages]
250	A Brief History of the Internet	by Michael Hart
251	The United States Congressional Address Book of 1995	by The Government of the United States
252	The United States Copyright Act of 1976, Title 17 U.S.C.
253	The Universal Copyright Convention of 1988	by The Coalition for Networked Information
254	The Second Story of Meno	by Unknown	[Subtitle: A Continuation of Socrates' Dialogue with Meno in Which the Boy Proves Toot 2 is Irrational]
255	QREAD, an Etext Viewer for Windows	by Dan Scavelle
256	Motion Picture of Rotating Earth	by the U. S. Government
257	Troilus and Criseyde	by Geoffrey Chaucer
258	Poems	by Adam Lindsay Gordon
259	Ballads of a Cheechako	by Robert W. Service
260	Introduction to Robert Browning	by Hiram Corson
261	A Dome of Many-Coloured Glass	by Amy Lowell
262	The Collected Poems of Rupert Brooke	by Rupert Brooke
263	Trees and Other Poems	by Joyce Kilmer
264	Main Street and Other Poems	by Alfred Joyce Kilmer
265	The Life and Death of Cormac the Skald	by Unknown	[Subtitle: Anonymous Icelandic Epic, 1250-1300 A.D., Although Parts May Be Based on a Now Lost 12th Century Saga]
266	Confessio Amantis	by John Gower	[Subtitle: Tales of the Seven Deadly Sins, 1330-1408 A.D.]
267	The Touchstone	by Edith Wharton
268	The Octopus	by Frank Norris
269	Beasts and Super-Beasts	by Saki (Author a.k.a. H. H. Munro)
270	Dream Days	by Kenneth Grahame
271	Black Beauty	by Anna Sewell
272	An Open Letter on Translating	by Martin Luther
273	The Smalcald Articles	by Martin Luther	[Subtitle: Articles of Christian Doctrine]
275	The Confession of Faith	by Various	[Subtitle: Which Was Submitted to His Imperial Majesty Charles the 5th At the Diet of Augsburg in the Year 1530 by Philip Melanchthon, 1497-1560]
276	One Hundred Fourth Symphony, in D-major	by Franz Josef Haydn	[Book and Music]
277	The Trinity Atomic Test Site	by The National Atomic Museum	[Subtitle: The 50th Anniversary of the Atomic Bomb]
278	The Trinity Atomic test Site	by the White Sands Missile Range Public Affairs Office
279	Photos and Maps of the Trinity Atomic Test Site	by the United States Army
280	Records of a Family of Engineers, Robert Louis Stevenson
281	Father Damien	by Robert Louis Stevenson	[Subtitle: an Open Letter to the Reverend Dr. Hyde of Honolulu]
282	Eothen	by A. W. Kinglake
283	The Reef	by Edith Wharton
284	House of Mirth	by Edith Wharton
285	The Lost Continent	by C. J. Cutcliffe Hyne
286	Laddie	by Gene Stratton Porter
287	Remember the Alamo	by Amelia E. Barr
288	The Certain Hour	by James Branch Cabell
289	The Wind in the Willows	by Kenneth Grahame
290	The Stark Munro Letters	[Subtitle: Being series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884]
291	The Golden Age	by Kenneth Grahame
292	Beauty and The Beast, and Tales From Home	by Bayard Taylor
293	Paul Prescott's Charge	by Horatio Alger
294	The Captain of the Pole-Star and Other Tales	by Arthur Conan Doyle
295	Early Short Fiction of Edith Wharton, Part 1 of 10	by Edith Wharton
296	The Cash Boy	by Horatio Alger Jr
297	The Flirt	by Booth Tarkington
298	The Market-Place	by Harold Frederic
299	Tales From Two Hemispheres	by Hjalmar Hjorth Boysen
300	United States Declaration of Independence	by Thomas Jefferson
301	The Ballad of Reading Gaol	by Oscar Wilde
302	The Fibonacci Number Series	by Michael Husted
303	HomeBrew HomePages Put YOU on the World Wide Web	by Anonymous
304	Rio Grande's Last Race and Other Verses, Andrew Barton 'Banjo' Paterson
305	The Count's Millions, Vol. 1	by Emile Gaboriau
306	Early Short Fiction of Edith Wharton, Part 2 of 10
307	Three Elephant Power	by Andrew Barton 'Banjo' Paterson
308	Three Men in a Boat	by Jerome K. Jerome
309	Rhymes of a Rolling Stone	by Robert W. Service
310	Before Adam	by Jack London
311	Bunner Sisters	by Edith Wharton
312	Young Adventure	by Stephen Vincent Benet	[Subtitle: A Book of Poems]
313	The Children of the Night	by Edwin Arlington Robinson
314	Guide to Life and Literature of the Southwest
315	Rhymes of a Red Cross Man	by Robert W. Service
316	The Golden Road	by Lucy Maud Montgomery
317	The Culprit Fay, and Other Poems	by Joseph Rodman Drake
318	John Barleycorn	by Jack London
319	The Ways of Men	by Eliot Gregory
321	Moran of the Lady Letty	by Frank Norris
322	St. Ives	by Robert Louis Stevenson
